idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family
1962,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7],[O:1]([C:2]([C:3](=[O:4])[H:9])=[C:5]=[C:6]([H:8])[H:10])[H:7],"InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,3-4,6H/t4-/m1/s1","InChI=1S/C4H4O2/c1-2-4(6)3-5/h3,6H,1H2",55.62101,-11.144160000000001,
1963,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7],[O:1]([c:2]1[c:3]([H:9])[o:4][c:6]([H:10])[c:5]1[H:8])[H:7],"InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,3-4,6H/t4-/m1/s1","InChI=1S/C4H4O2/c5-4-1-2-6-3-4/h1-3,5H",51.95714,-32.850770000000004,
1964,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7],[O:1]([C:2](=[C:5]=[C:6]([C:3](=[O:4])[H:9])[H:10])[H:8])[H:7],"InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,3-4,6H/t4-/m1/s1","InChI=1S/C4H4O2/c5-3-1-2-4-6/h1,3-4,6H",49.02414,-6.6276399999999995,
1965,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7],[O:1]1[C@@:2]([C:5]#[C:6][H:10])([H:8])[C@@:3]1([O:4][H:7])[H:9],"InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,3-4,6H/t4-/m1/s1","InChI=1S/C4H4O2/c1-2-3-4(5)6-3/h1,3-5H/t3-,4-/m1/s1",56.20316999999999,13.171570000000001,
1966,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7],[O:1]([C@@:2]1([H:8])[C:3]([H:9])=[C:6]([H:10])[C:5]1=[O:4])[H:7],"InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,3-4,6H/t4-/m1/s1","InChI=1S/C4H4O2/c5-3-1-2-4(3)6/h1-3,5H/t3-/m0/s1",103.24798,-14.316679999999998,
1967,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7],[O:1]([C@@:2]1([H:8])[C:3]([H:9])=[C:5]1[C:6](=[O:4])[H:10])[H:7],"InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,3-4,6H/t4-/m1/s1","InChI=1S/C4H4O2/c5-2-3-1-4(3)6/h1-2,4,6H/t4-/m0/s1",79.21708000000001,13.277320000000001,
1968,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7],[O:1]([C@@:2]([C:3][O:4][H:9])([C:5]#[C:6][H:10])[H:8])[H:7],"InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,3-4,6H/t4-/m1/s1","InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,4-6H/t4-/m1/s1",81.31641,53.35479,
1969,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7],[O:1]=[C:2]([C:3]([O:4][H:7])([H:8])[H:9])[C:5]#[C:6][H:10],"InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,3-4,6H/t4-/m1/s1","InChI=1S/C4H4O2/c1-2-4(6)3-5/h1,5H,3H2",39.10492,-4.30549,
1970,[C:1]([C:2]([C:3](=[O:4])[O:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C-:3]([O:4][H:9])=[O+:5][C:6]([H:12])([H:13])[H:14].[C:1](=[C:2]([H:10])[H:11])([H:7])[H:8],"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3","InChI=1S/C2H4O2.C2H4/c1-4-2-3;1-2/h3H,1H3;1-2H2",86.85588,74.05051999999999,
1971,[C:1]([C:2]([C:3](=[O:4])[O:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:4][C-:3]=[O+:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3","InChI=1S/C4H8O2/c1-3-6-4-5-2/h3H2,1-2H3",107.80415,57.81751,
1972,[C:1]([C:2]([C:3](=[O:4])[O:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2](=[C:3](\[O:4][H:10])[O:5][C:6]([H:12])([H:13])[H:14])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3","InChI=1S/C4H8O2/c1-3-4(5)6-2/h3,5H,1-2H3/b4-3+",75.19787,28.31658,ketoenol
1973,[C:1]([C:2]([C:3](=[O:4])[O:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]1([H:7])([H:8])[C:2]([H:10])([H:11])[C:3]1([O:4][H:9])[O:5][C:6]([H:12])([H:13])[H:14],"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3","InChI=1S/C4H8O2/c1-6-4(5)2-3-4/h5H,2-3H2,1H3",89.72319,39.502309999999994,
1974,[C:1]([C:2]([C:3](=[O:4])[O:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:4][C:3](=[C:2]([H:10])[H:11])[O:5][C:6]([H:12])([H:13])[H:14])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3","InChI=1S/C4H8O2/c1-4(5-2)6-3/h1H2,2-3H3",108.30765,38.352509999999995,ketoenol
1975,[C:1]([C:2]([C:3]([C:4]([C:5]([C:6]([H:18])([H:19])[H:20])([H:16])[H:17])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]([C:3]([C:4]([C:5]([C:6]([H:18])([H:19])[H:20])([H:16])[H:17])([H:14])[H:15])([H:12])[H:13])[H:10])([H:7])[H:8].[H:9][H:11],"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3","InChI=1S/C6H12.H2/c1-3-5-6-4-2;/h3H,1,4-6H2,2H3;1H",113.9151,30.717990000000004,
1976,[C:1]([C:2]([C:3]([C:4]([C:5]([C:6]([H:18])([H:19])[H:20])([H:16])[H:17])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([H:10])([H:11])[H:14])([H:7])([H:8])[H:9].[C:3](=[C:4]([C:5]([C:6]([H:18])([H:19])[H:20])([H:16])[H:17])[H:15])([H:12])[H:13],"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3","InChI=1S/C4H8.C2H6/c1-3-4-2;1-2/h3H,1,4H2,2H3;1-2H3",116.58287,20.23633,
1977,[C:1]([C:2]([C:3]([C:4]([C:5]([C:6]([H:18])([H:19])[H:20])([H:16])[H:17])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:3]([H:12])[H:13])[H:11])([H:7])([H:8])[H:9].[C:4](=[C:5]([C:6]([H:18])([H:19])[H:20])[H:16])([H:14])[H:15].[H:10][H:17],"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3","InChI=1S/2C3H6.H2/c2*1-3-2;/h2*3H,1H2,2H3;1H",95.454,50.22364,
1978,[N:1]([C:2]([C@@:3]([N:4]([H:12])[H:13])([C:5]#[N:6])[H:11])([H:9])[H:10])([H:7])[H:8],[N:1]([C@:2]1([H:10])[C@:3]([N:4]([H:12])[H:13])([H:11])[C:5]1=[N:6][H:9])([H:7])[H:8],"InChI=1S/C3H7N3/c4-1-3(6)2-5/h3H,1,4,6H2/t3-/m1/s1","InChI=1S/C3H7N3/c4-1-2(5)3(1)6/h1-2,6H,4-5H2/t1-,2-/m1/s1",108.24533000000001,36.11305,
1979,[N:1]([C:2]([C@@:3]([N:4]([H:12])[H:13])([C:5]#[N:6])[H:11])([H:9])[H:10])([H:7])[H:8],[N:1]([C:2]([C@@:3]1([H:11])[C:5]([N:4]([H:12])[H:13])=[N:6]1)([H:9])[H:10])([H:7])[H:8],"InChI=1S/C3H7N3/c4-1-3(6)2-5/h3H,1,4,6H2/t3-/m1/s1","InChI=1S/C3H7N3/c4-1-2-3(5)6-2/h2H,1,4H2,(H2,5,6)/t2-/m0/s1",94.31,27.3292,
1980,[N:1]([C:2]([C@@:3]([N:4]([H:12])[H:13])([C:5]#[N:6])[H:11])([H:9])[H:10])([H:7])[H:8],[C:5](#[N:6])[H:11].[N:1]([C:2]([C:3][N:4]([H:12])[H:13])([H:9])[H:10])([H:7])[H:8],"InChI=1S/C3H7N3/c4-1-3(6)2-5/h3H,1,4,6H2/t3-/m1/s1","InChI=1S/C2H6N2.CHN/c3-1-2-4;1-2/h1,3-4H2;1H",66.48425,53.85221,
1981,[N:1]([C:2]([C@@:3]([N:4]([H:12])[H:13])([C:5]#[N:6])[H:11])([H:9])[H:10])([H:7])[H:8],[C@@:3]1([N:4]([H:12])[H:13])([H:11])[C:5]([H:8])=[N:6]1.[N:1](=[C:2]([H:9])[H:10])[H:7],"InChI=1S/C3H7N3/c4-1-3(6)2-5/h3H,1,4,6H2/t3-/m1/s1","InChI=1S/C2H4N2.CH3N/c3-2-1-4-2;1-2/h1-2H,3H2;2H,1H2/t2-;/m0./s1",88.05921,58.38227,
1982,[N:1]([C:2]([C@@:3]([N:4]([H:12])[H:13])([C:5]#[N:6])[H:11])([H:9])[H:10])([H:7])[H:8],[N:1]([C:2]([C-:3]([N+:4]([H:11])([H:12])[H:13])[C:5]#[N:6])([H:9])[H:10])([H:7])[H:8],"InChI=1S/C3H7N3/c4-1-3(6)2-5/h3H,1,4,6H2/t3-/m1/s1","InChI=1S/C3H7N3/c4-1-3(6)2-5/h1,4H2,6H3",65.43823,41.876909999999995,
1983,[N:1]([C:2]([C@@:3]([N:4]([H:12])[H:13])([C:5]#[N:6])[H:11])([H:9])[H:10])([H:7])[H:8],[N:1]([C:2]([C@@:3]([N:4]([H:12])[H:13])([N+:6]#[C-:5])[H:11])([H:9])[H:10])([H:7])[H:8],"InChI=1S/C3H7N3/c4-1-3(6)2-5/h3H,1,4,6H2/t3-/m1/s1","InChI=1S/C3H7N3/c1-6-3(5)2-4/h3H,2,4-5H2/t3-/m0/s1",48.20722,19.45618,
1984,[N:1]([C:2]([C@@:3]([N:4]([H:12])[H:13])([C:5]#[N:6])[H:11])([H:9])[H:10])([H:7])[H:8],[N:1]([C:2]([C:3]([N:4]([H:12])[H:13])=[C:5]=[N:6][H:11])([H:9])[H:10])([H:7])[H:8],"InChI=1S/C3H7N3/c4-1-3(6)2-5/h3H,1,4,6H2/t3-/m1/s1","InChI=1S/C3H7N3/c4-1-3(6)2-5/h5H,1,4,6H2",85.16778000000001,24.60206,
1985,[O:1]=[C:2]1[C:3]([H:6])([H:7])[O:4][C:5]1([H:8])[H:9],[H:8][H:9].[O-:1][C:2]1=[C:5]=[O+:4][C:3]1([H:6])[H:7],InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,InChI=1S/C3H2O2.H2/c4-3-1-5-2-3;/h1H2;1H,88.35361,75.75865,
1986,[O:1]=[C:2]1[C:3]([H:6])([H:7])[O:4][C:5]1([H:8])[H:9],[O:1]1[C:2]2([C:3]1([H:6])[H:7])[O:4][C:5]2([H:8])[H:9],InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,InChI=1S/C3H4O2/c1-3(4-1)2-5-3/h1-2H2,80.7734,28.9369,
1987,[O:1]=[C:2]1[C:3]([H:6])([H:7])[O:4][C:5]1([H:8])[H:9],[O:1]([C:2]1=[C:3]([H:6])[O:4][C:5]1([H:8])[H:9])[H:7],InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,"InChI=1S/C3H4O2/c4-3-1-5-2-3/h1,4H,2H2",83.40805,19.846429999999998,ketoenol
1988,[O:1]=[C:2]1[C:3]([H:6])([H:7])[O:4][C:5]1([H:8])[H:9],[O+:1]1=[C-:2][C:3]1([H:6])[H:7].[O:4]=[C:5]([H:8])[H:9],InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,InChI=1S/C2H2O.CH2O/c1-2-3-1;1-2/h1H2;1H2,90.24002,69.28667,
1989,[O:1]=[C:2]1[C:3]([H:6])([H:7])[O:4][C:5]1([H:8])[H:9],[O-:1][C:2](=[C+:3][H:6])[C:5]([O:4][H:7])([H:8])[H:9],InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,"InChI=1S/C3H4O2/c1-3(5)2-4/h1,4H,2H2",68.0479,57.05546,
1990,[O:1]=[C:2]1[C:3]([H:6])([H:7])[O:4][C:5]1([H:8])[H:9],[O:1]=[C:2]=[C:3]([H:6])[H:7].[O:4]=[C:5]([H:8])[H:9],InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,InChI=1S/C2H2O.CH2O/c1-2-3;1-2/h1H2;1H2,65.08511999999999,5.2950800000000005,2+2_cycloaddition
1991,[O:1]=[C:2]1[C:3]([H:6])([H:7])[O:4][C:5]1([H:8])[H:9],[O:1]1[C@@:2]2([H:7])[C@:3]1([H:6])[O:4][C:5]2([H:8])[H:9],InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,"InChI=1S/C3H4O2/c1-2-3(4-1)5-2/h2-3H,1H2/t2-,3-/m1/s1",64.26346,27.553790000000003,
1992,[O:1]=[C:2]1[C:3]([H:6])([H:7])[O:4][C:5]1([H:8])[H:9],[O:1]=[C:2]([C:5]([O+:4]=[C-:3][H:6])([H:8])[H:9])[H:7],InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,"InChI=1S/C3H4O2/c1-5-3-2-4/h1-2H,3H2",65.14881,51.0385,
1993,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:7])([H:8])[H:9],[C:1]([C:3](/[N:2]=[C:4](\[C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H9NO/c1-5-2-4(5)3-6/h4,6H,2-3H2,1H3/t4-,5?/m0/s1","InChI=1S/C4H9NO/c1-2-5-3-4-6/h3,6H,2,4H2,1H3/b5-3-",90.68038,-10.32361,
1994,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:7])([H:8])[H:9],[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5](=[O:6])[H:14])[H:12])([H:7])([H:8])[H:9].[H:13][H:15],"InChI=1S/C4H9NO/c1-5-2-4(5)3-6/h4,6H,2-3H2,1H3/t4-,5?/m0/s1","InChI=1S/C4H7NO.H2/c1-5-2-4(5)3-6;/h3-4H,2H2,1H3;1H/t4-,5?;/m0./s1",89.83935,21.6975,
1995,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:7])([H:8])[H:9],[C:1]([C@@:4]([N:2]=[C:3]([H:10])[H:11])([C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:7])([H:8])[H:9],"InChI=1S/C4H9NO/c1-5-2-4(5)3-6/h4,6H,2-3H2,1H3/t4-,5?/m0/s1","InChI=1S/C4H9NO/c1-4(3-6)5-2/h4,6H,2-3H2,1H3/t4-/m1/s1",90.7928,-15.0668,
1996,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:7])([H:8])[H:9],[C-:1]([N+:2]1=[C:3]([H:11])[C@:4]1([C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:7])[H:9].[H:8][H:10],"InChI=1S/C4H9NO/c1-5-2-4(5)3-6/h4,6H,2-3H2,1H3/t4-,5?/m0/s1","InChI=1S/C4H7NO.H2/c1-5-2-4(5)3-6;/h2,4,6H,1,3H2;1H/t4-;/m0./s1",87.35428,73.02701,
1997,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:7])([H:8])[H:9],[C:1]([N:2]1[C:3]([H:10])([H:11])[C:4]1=[C:5]([H:13])[H:14])([H:7])([H:8])[H:9].[O:6]([H:12])[H:15],"InChI=1S/C4H9NO/c1-5-2-4(5)3-6/h4,6H,2-3H2,1H3/t4-,5?/m0/s1","InChI=1S/C4H7N.H2O/c1-4-3-5(4)2;/h1,3H2,2H3;1H2",79.46465,18.667679999999997,"1,3_Insertion_ROR"
1998,[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C-:4]#[O+:5].[C:1]([C:6]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:13])[H:14])([H:7])([H:8])[H:9],"InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3","InChI=1S/C4H8.CO/c1-3-4-2;1-2/h3H,1,4H2,2H3;",101.87772,3.4227800000000004,
1999,[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([C:4]([O-:5])=[C+:6][H:13])([H:11])[H:12])([H:10])[H:14])([H:7])([H:8])[H:9],"InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3","InChI=1S/C5H8O/c1-3-4-5(2)6/h2H,3-4H2,1H3",75.83649,71.9952,
2000,[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]1([H:8])([H:9])[C:2]2([H:10])[C:3]([H:11])([H:12])[C:4]1([O:5][H:7])[C:6]2([H:13])[H:14],"InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3","InChI=1S/C5H8O/c6-5-1-4(2-5)3-5/h4,6H,1-3H2",98.94496,33.77469,
2001,[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C:2][C:3]([C:4](=[O:5])[C:6]([H:10])([H:13])[H:14])([H:11])[H:12])([H:7])([H:8])[H:9],"InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3","InChI=1S/C5H8O/c1-3-4-5(2)6/h4H2,1-2H3",79.62573,65.19991999999999,
2002,[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([H:7])([H:8])([H:9])[H:10].[C:2]1[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14],"InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3",InChI=1S/C4H4O.CH4/c5-4-2-1-3-4;/h2-3H2;1H4,97.008,91.10604000000001,
2003,[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:6]([H:13])[H:14])[H:10])([H:7])([H:8])[H:9].[C:3](=[C:4]=[O:5])([H:11])[H:12],"InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3","InChI=1S/C3H6.C2H2O/c1-3-2;1-2-3/h3H,1H2,2H3;1H2",51.08471,20.8554,
2004,[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:14])([C:6](=[C:4]=[O:5])[H:13])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3","InChI=1S/C5H8O/c1-5(2)3-4-6/h3,5H,1-2H3",80.10537,1.1269799999999999,
2005,[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C-:2]1[C:3]([H:11])([H:12])[C+:4]([O:5][H:10])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],"InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3","InChI=1S/C5H8O/c1-4-2-5(6)3-4/h6H,2-3H2,1H3",96.56902,90.84908,
2006,[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])[C:4](=[O:5])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C@:2]1([H:10])[C:3]([H:12])=[C:4]([O:5][H:11])[C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],"InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3","InChI=1S/C5H8O/c1-4-2-5(6)3-4/h2,4,6H,3H2,1H3/t4-/m1/s1",78.40759,14.64976,ketoenol
2007,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]1=[C:5]([H:12])[C:4]([H:10])([H:11])[C:3]1=[O:6])([H:7])([H:8])[H:9],"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3","InChI=1S/C5H6O/c1-4-2-3-5(4)6/h2H,3H2,1H3",112.98801,-12.68939,
2008,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]#[C:3][C:4]([C:5][O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3","InChI=1S/C5H6O/c1-2-3-4-5-6/h6H,4H2,1H3",81.51104000000001,53.37846,
2009,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:3])[C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3","InChI=1S/C5H6O/c1-5(2)3-4-6/h4H,3H2,1H3",57.58064,52.93199,
2010,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:3]=[C:4]([H:10])[H:11])[C:5](=[O:6])[H:12])([H:7])([H:8])[H:9],"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3","InChI=1S/C5H6O/c1-3-5(2)4-6/h4H,1H2,2H3",55.83664,-3.9058300000000004,
2011,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]=[C:3]([C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])[H:9])([H:7])[H:8],"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3","InChI=1S/C5H6O/c1-2-3-4-5-6/h3,5H,1,4H2",90.12987,3.22629,
2012,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C-:5]#[O+:6].[C:1]([C:2](=[C:3]=[C:4]([H:10])[H:11])[H:12])([H:7])([H:8])[H:9],"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3","InChI=1S/C4H6.CO/c1-3-4-2;1-2/h4H,1H2,2H3;",45.87576,-0.58115,
2013,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]=[C:3]1[C:4]([H:10])([H:11])[C@@:5]1([O:6][H:9])[H:12])([H:7])[H:8],"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3","InChI=1S/C5H6O/c1-2-4-3-5(4)6/h5-6H,1,3H2/t5-/m0/s1",58.08509,28.469759999999997,
2014,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([c:2]1[c:3]([H:10])[c:4]([H:11])[c:5]([H:12])[o:6]1)([H:7])([H:8])[H:9],"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3","InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3",56.77395,-31.182879999999997,
2015,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C@:5]1([H:12])[C:3][C:4]1([H:10])[H:11])=[O:6])([H:7])([H:8])[H:9],"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3","InChI=1S/C5H6O/c1-4(6)5-2-3-5/h5H,2H2,1H3/t5-/m0/s1",80.98943,59.63653000000001,
2016,[C:1]([C@@:2]([O:3][H:10])([C:4]([O:5][H:13])([H:11])[H:12])[H:9])([H:6])([H:7])[H:8],[C:1]([C:2](=[O:3])[C:4]([H:9])([H:11])[H:12])([H:6])([H:7])[H:8].[O:5]([H:10])[H:13],"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m1/s1",InChI=1S/C3H6O.H2O/c1-3(2)4;/h1-2H3;1H2,80.50893,-6.20531,
2017,[C:1]([C@@:2]([O:3][H:10])([C:4]([O:5][H:13])([H:11])[H:12])[H:9])([H:6])([H:7])[H:8],[C:1](=[C:2]([O:3][H:10])[C:4]([O:5][H:13])([H:11])[H:12])([H:6])[H:8].[H:7][H:9],"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m1/s1","InChI=1S/C3H6O2.H2/c1-3(5)2-4;/h4-5H,1-2H2;1H",105.6053,27.210720000000002,
2018,[C:1]([C@@:2]([O:3][H:10])([C:4]([O:5][H:13])([H:11])[H:12])[H:9])([H:6])([H:7])[H:8],[C:1]([C:4]([C:2](=[O:3])[H:9])([H:11])[H:12])([H:6])([H:7])[H:8].[O:5]([H:10])[H:13],"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m1/s1","InChI=1S/C3H6O.H2O/c1-2-3-4;/h3H,2H2,1H3;1H2",75.57125,2.01772,
2019,[C:1]([C@@:2]([O:3][H:10])([C:4]([O:5][H:13])([H:11])[H:12])[H:9])([H:6])([H:7])[H:8],[C:1]([O:3][H:10])([H:6])([H:7])[H:8].[C:2]([C:4]([O:5][H:13])([H:11])[H:12])[H:9],"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m1/s1","InChI=1S/C2H4O.CH4O/c1-2-3;1-2/h1,3H,2H2;2H,1H3",128.51953,28.108420000000002,
2020,[C:1]([C@@:2]([O:3][H:10])([C:4]([O:5][H:13])([H:11])[H:12])[H:9])([H:6])([H:7])[H:8],[C:1]([C@@:2]1([H:9])[O:3][C:4]1([H:11])[H:12])([H:6])([H:7])[H:8].[O:5]([H:10])[H:13],"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m1/s1","InChI=1S/C3H6O.H2O/c1-3-2-4-3;/h3H,2H2,1H3;1H2/t3-;/m1./s1",73.7694,22.94126,
