solute_inchi,solute_smiles,solute_name,solvent_inchi,solvent_smiles,solvent_name,temperature,temperature_units,solubility reported in paper,std reported in paper,units reported in paper,source,solvent_density [kg/m3],warning_density,experimental_logS [mol/L],logS_warning
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,283.17,K,0.0005572,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,911.84,,-2.23856953958179,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,313.22,K,0.0006248,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,761.44,,-1.93541684797007,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",CCCCOC(=O)C,N-butyl acetate,298.14,K,0.0006287,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,879.01,,-2.32206095000632,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",CCC(=O)OC,methyl propionate,293.23,K,0.0006506,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,918.94,,-2.16785748431481,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",CCCOC(=O)C,N-propyl acetate,293.16,K,0.0006648,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,885.91,,-2.23852051375906,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,288.17,K,0.000665,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,906.08,,-2.16446425180539,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",CCCCOC(=O)C,N-butyl acetate,303.19,K,0.0007794,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,870.21,,-2.23304826076347,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,293.16,K,0.000789,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,900.27,,-2.09294876824188,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,318.23,K,0.0008088,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,756.25,,-1.82620705854492,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",CCCOC(=O)C,N-propyl acetate,298.18,K,0.0008188,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,885.38,,-2.14822665609742,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",CCC(=O)OC,methyl propionate,298.17,K,0.0008232,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,912.07,,-2.06885015203214,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",CCCCOC(=O)C,N-butyl acetate,308.16,K,0.0009476,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,859.89,,-2.15329166998046,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,298.14,K,0.0009939,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,902,,-1.99176025521445,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",CCCOC(=O)C,N-propyl acetate,303.16,K,0.0010001,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,874.95,,-2.06642872546389,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",CCC(=O)OC,methyl propionate,303.23,K,0.0010022,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,902.96,,-1.98768296466955,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,323.24,K,0.0010275,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,750.37,,-1.72556122824583,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",CCCCOC(=O)C,N-butyl acetate,313.14,K,0.0011342,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,860.5,,-2.07483797902181,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",CC(C)CO,Iso-butanol,282.95,K,0.0011481,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,809.56,,-1.90093324262591,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",CCC(=O)OC,methyl propionate,308.14,K,0.0011982,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,897,,-1.91289890134138,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,303.17,K,0.0012045,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,888.46,,-1.91477323606371,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",CCCOC(=O)C,N-propyl acetate,308.16,K,0.0012151,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,869.47,,-1.98449528871549,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",CCCCOC(=O)C,N-butyl acetate,318.14,K,0.0013831,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,853.1,,-1.99231674123303,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,propan-2-ol,283.06,K,0.0014572,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,795.2,,-1.71393850810984,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",CCCOC(=O)C,N-propyl acetate,313.18,K,0.00146,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,865.68,,-1.90654517039332,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,308.14,K,0.0014699,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,882.51,,-1.83109507908626,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",CCC(=O)OC,methyl propionate,313.24,K,0.00148,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,890.81,Extrapolation using 5 values from 277.04 K to 313.15 K,-1.82405131228904,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",CC(C)CCO,isopentanol,283.77,K,0.0014888,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,820.37,,-1.85742757790328,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",CC(C)CO,Iso-butanol,288.04,K,0.001498,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,805.75,,-1.78729771279331,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",CCCCOC(=O)C,N-butyl acetate,323.2,K,0.0016735,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,850.1,,-1.91094821947931,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",CCCOC(=O)C,N-propyl acetate,318.16,K,0.0017723,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,858.35,,-1.8259179115266,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,313.17,K,0.0017781,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,876.43,,-1.7512950200141,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",CCC(=O)OC,methyl propionate,318.16,K,0.0018197,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,884.84,Extrapolation using 5 values from 277.04 K to 313.15 K,-1.73708579554351,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",CCC(=O)C,methyl ethyl ketone,283.14,K,0.0019104,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,815.48,,-1.66431118667834,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,propan-2-ol,288.14,K,0.0019516,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,790.66,,-1.58933838273217,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",CC(C)CCO,isopentanol,288.56,K,0.0019561,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,816.11,,-1.74093065988817,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",CC(C)CO,Iso-butanol,292.93,K,0.0020326,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,802.08,,-1.65650764741264,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",CCCOC(=O)C,N-propyl acetate,323.16,K,0.0021415,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,854.43,,-1.74556433732094,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,318.16,K,0.0022049,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,870.33,,-1.66070985891868,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",CCC(=O)OC,methyl propionate,323.18,K,0.0022078,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,878.74,Extrapolation using 5 values from 277.04 K to 313.15 K,-1.65596132309377,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",CCC(=O)C,methyl ethyl ketone,288.16,K,0.0022651,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,810.29,,-1.59296658456753,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCO,butan-1-ol,283.16,K,0.0022692,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,817.48,,-1.60032436920568,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",CCC(C)O,butan-2-ol,283.16,K,0.0023025,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,813.96,,-1.59585708323774,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",CCCCCO,pentan-1-ol,283.23,K,0.0023301,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,822.8,,-1.66123879449596,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",CCCO,propan-1-ol,283.13,K,0.0023893,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,811.67,,-1.48987827863586,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,propan-2-ol,293.19,K,0.0024532,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,785.97,,-1.49236171172291,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",CC(C)CCO,isopentanol,293.5,K,0.0024794,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,811.56,,-1.64017541058505,Converted from mole fraction
"InChI=1/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)/f/h21,23H",CC(OC1=CC=C(C=C1)CCNC(C2=CC=C(C=C2)Cl)=O)(C(O)=O)C,bezafibrate,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",CCO,ethanol,283.14,K,0.0025829,,mole fraction,https://doi.org/10.1021/acs.jced.0c00025,797.81,,-1.34802264708257,Converted from mole fraction
